"","MIHIV124","MIHIV132","MIHIV138","MIHIV154","MIHIV178","MIHIV217","MIHIV255","MIHIV278","MIHIV286","MIHIV307","MIHIV323","MIHIV361","MIHIV391","MIHIV404","MIHIV428","MIHIV493","MIHIV582","MIHIV594","MIHIV622","MIHIV648","MIHIV683","MIHIV708","MIHIV716","MIHIV819","MIHIV825","MIHIV839","MIHIV88","MIHIV914","MIHIV947","MIHIV965","MIHIV972","MIHIV998"
"L1FLnI_11p15.4m",39455,45728,34546,257930,29256,45306,42561,8150,74798,3367,36293,4050,18704,11737,29423,290,44955,16893,60551,17787,1531,15252,58975,16280,55104,821524,380039,68983,4071,79647,16042,25021
"__no_feature",12413,17566,14787,20529,15741,16156,18792,18133,13072,13879,13373,9918,18908,14637,20301,16140,15526,16747,19059,17695,15217,14745,15339,13519,21447,15017,16495,15819,15732,12909,11068,16333
"L1FLnI_15q23j",8769,8097,6191,7479,5996,6063,8616,7504,5473,4617,3346,3697,6869,6238,7087,5668,5475,7882,7252,5708,5294,4634,5954,5707,7711,7545,5925,4260,6832,4799,4939,4637
"L1FLnI_Xq21.1pc",1436,1751,1385,1641,2777,1274,2907,2275,954,707,475,1219,1828,2335,1846,1339,1868,1471,1861,1512,1232,1117,1417,1249,2133,2142,828,1800,2131,1278,1658,1240
"MER4_22q12.3",1358,1764,1195,3959,3066,3012,1246,1815,1231,1824,1515,1424,2246,1679,3741,806,960,2525,2982,2713,2636,1091,840,1756,3266,1783,3088,1493,1152,2729,502,2012
"L1FLnI_12p13.31p",985,1313,2339,3674,2177,2400,1436,1719,1899,874,1814,1882,2268,2080,2602,1390,1959,3029,2936,2712,2831,1304,2012,2174,2847,900,3049,2164,2004,2118,835,1963
"L1FLnI_11q22.2a",742,643,1018,1245,895,1027,816,856,738,522,627,862,1003,818,1329,614,718,1338,1120,933,963,344,717,822,1150,734,1222,885,797,1045,314,729
"L1FLnI_19q13.42b",739,776,826,874,2017,455,1094,945,591,533,936,778,1551,769,1003,614,937,1317,1097,790,985,318,498,1262,793,446,992,975,1398,771,475,713
"L1FLnI_4q35.2k",672,683,864,1167,1069,812,729,739,856,520,716,710,1017,914,1240,759,933,1123,988,789,966,321,793,938,1022,441,887,724,887,854,328,846
"L1FLnI_5q35.1c",654,544,663,1593,1273,1178,578,842,623,1026,844,819,841,809,1620,539,695,1099,1152,1368,1281,575,682,733,1372,724,1500,1144,598,1492,366,1183
"L1FLnI_21q22.3a",648,490,539,2131,3995,1492,604,749,701,466,600,869,2519,1176,2523,511,534,1493,1599,946,2031,316,468,1081,1926,2146,1227,753,644,2075,244,1489
"L1FLnI_1p31.1rc",647,700,584,950,499,933,540,650,636,773,333,840,659,723,1052,654,772,1064,950,867,699,575,852,509,1081,420,684,828,529,674,350,693
"L1FLnI_1q23.1p",570,538,1524,1944,3940,1101,1126,1288,852,766,515,1618,1437,1319,2355,1018,1569,2148,1577,1340,1394,530,752,1502,1057,982,1542,977,1934,2116,351,1065
"L1FLnI_19q13.11a",521,574,867,1480,985,1044,574,745,743,707,638,586,1066,808,1085,587,710,1210,1130,897,825,353,923,988,1209,411,1009,875,749,1022,302,793
